Bytes,Status,Voltage,PAI,Counter,SPO2,Heart_Rate,Time_Stamp
10,True,33,96,405,92,83,2020-05-21-16-50-05,C1
10,True,33,114,406,93,87,2020-05-21-16-50-06,C1
10,True,33,134,407,94,93,2020-05-21-16-50-07,C1
10,True,33,124,408,94,98,2020-05-21-16-50-08,C1
10,True,33,156,409,95,101,2020-05-21-16-50-09,C1
10,True,33,156,410,95,103,2020-05-21-16-50-10,C1
10,True,33,194,411,95,103,2020-05-21-16-50-11,C1
10,True,33,146,412,95,104,2020-05-21-16-50-12,C1
10,True,33,100,413,95,106,2020-05-21-16-50-13,C1
10,True,33,126,414,95,106,2020-05-21-16-50-14,C1
10,True,33,144,415,95,108,2020-05-21-16-50-15,C1
10,True,33,122,416,95,109,2020-05-21-16-50-16,C1
10,True,33,72,417,95,110,2020-05-21-16-50-17,C1
10,True,33,122,418,95,112,2020-05-21-16-50-18,C1
10,True,33,106,419,95,114,2020-05-21-16-50-19,C1
10,True,33,120,420,95,116,2020-05-21-16-50-20,C1
10,True,33,128,421,95,116,2020-05-21-16-50-21,C1
10,True,33,104,422,96,117,2020-05-21-16-50-22,C1
10,True,33,114,423,96,119,2020-05-21-16-50-23,C1
10,True,33,144,424,96,121,2020-05-21-16-50-24,C1
10,True,33,140,425,96,122,2020-05-21-16-50-25,C1
10,True,33,100,426,95,124,2020-05-21-16-50-26,C1
10,True,33,124,427,95,124,2020-05-21-16-50-27,C1
10,True,33,122,428,95,124,2020-05-21-16-50-28,C1
10,True,33,140,429,95,125,2020-05-21-16-50-29,C1
10,True,33,132,430,96,126,2020-05-21-16-50-30,C1
10,True,33,104,431,96,126,2020-05-21-16-50-31,C1
10,True,33,122,432,96,127,2020-05-21-16-50-32,C1
10,True,33,124,433,96,128,2020-05-21-16-50-33,C1
10,True,33,110,434,96,131,2020-05-21-16-50-34,C1
10,True,33,112,435,96,133,2020-05-21-16-50-35,C1
10,True,33,110,436,96,133,2020-05-21-16-50-36,C1
10,True,33,106,437,96,133,2020-05-21-16-50-37,C1
10,True,33,76,438,96,132,2020-05-21-16-50-38,C1
10,True,33,102,439,96,131,2020-05-21-16-50-39,C1
10,True,33,104,440,95,131,2020-05-21-16-50-40,C1
10,True,33,110,441,95,129,2020-05-21-16-50-41,C1
10,True,33,108,442,95,128,2020-05-21-16-50-42,C1
